order,name,desc
1,SFG_L,superior frontal gyrus (posterior segment) left
3,SFG_PFC_L,superior frontal gyrus (prefrontal cortex) left
5,SFG_pole_L,superior frontal gyrus (frontal pole) left
7,MFG_L,middle frontal gyrus (posterior segment) left
9,MFG_DPFC_L,middle frontal gyrus (dorsal prefrontal cortex) left
11,IFG_opercularis_L,inferior frontal gyrus pars opercularis left
13,IFG_orbitalis_L,inferior frontal gyrus pars orbitralis left
15,IFG_triangularis_L,inferior frontal gyrus pars triangularis left
17,LFOG_L,lateral fronto-orbital gyrus left
19,MFOG_L,middle fronto-orbital gyrus left
21,RG_L,gyrus rectus left
23,PoCG_L,postcentral gyrus left
25,PrCG_L,precentral gyrus left
27,SPG_L,Superior parietal gyrus left
29,SMG_L,supramarginal gyrus left
31,AG_L,angular gyrus left
33,PrCu_L,pre-cuneus left
35,STG_L,superior temporal gyrus left
37,STG_L_pole,pole of superior temporal gyrus left
39,MTG_L,middle temporal gyrus left
41,MTG_L_pole,pole of middle temporal gyrus left
43,ITG_L,inferior temporal gyrus left
45,PHG_L,parahippocampal gyrus left
47,ENT_L,entorhinal area left
49,FuG_L,fusiform gyrus left
51,SOG_L,superior occipital gyrus left
53,MOG_L,middle occipital gyrus left
55,IOG_L,inferior occipital gyrus left
57,Cu_L,cuneus left
59,LG_L,lingual gyrus left
61,rostral_ACC_L,rostral anterior cingulate gyrus left
63,subcallosal_ACC_L,subcallosal anterior cingulate gyrus left
65,subgenual_ACC_L,subgenual anterior cingulate gyrus left
67,dorsal_ACC_L,dorsal anterior cingulate gyrus left
69,PCC_L,posterior cingulate gyrus left
71,Ins_L,insular left
73,Amyg_L,amygdala left
75,Hippo_L,hippocampus left
77,Caud_L,caudate nucleus left
79,Put_L,putamen left
81,GP_L,globus pallidus left
83,Thal_L,thalamus left
182,PIns_L,posterior insula left
184,PSTG_L,posterior superior temporal gyrus left
186,PSMG_L,posterior middle temporal gyrus left
188,PSIG_L,posterior inferior temporal gyrus left
